Start Date	Start Time	End Date	End Time	Event Type	Access	Venue	Location	Title	Description	Participants
Wednesday, 16 August 2017	6:00 PM	Wednesday, 16 August 2017	12:00 AM	Party	Public	Aurora	276 Westminster Street, Providence 02903 	NecronomiCon welcome pre-party		
Thursday, 17 August 2017	12:00 AM	Thursday, 17 August 2017	11:59 PM	Film Screenings	Public	Providence Public Library	150 Empire Street	Film Screenings (Library)		
Thursday, 17 August 2017	12:00 AM	Thursday, 17 August 2017	11:59 PM	Film Screenings	Public	Black Box	95 Empire Street	Film Screenings (Black Box)		
Thursday, 17 August 2017	12:00 AM	Thursday, 17 August 2017	11:59 PM	Tours	Ticket	Providence	Providence, RI	Walking Tours of Providence		
Thursday, 17 August 2017	11:00 AM	Thursday 17 August 2017	1:00 PM	Film Screening 	Public	Black Box	95 Empire Street	NecronomiCon Short Film Program One		
Thursday, 17 August 2017	12:00 PM	Thursday, 17 August 2017	6:00 PM	Registration		Biltmore	Biltmore, 2nd Floor Landing	Registration		
Thursday, 17 August 2017	12:45 PM	Thursday 17 August 2017	2:15 PM	Film Screening	Public	Providence Public Library	150 Empire Street	Penda's Fen (Feature Film)		
Thursday, 17 August 2017	1:30 PM	Thursday 17 August 2017	3:30 PM	Film Screening	Public	Black Box	95 Empire Street	NecronomiCon Short Film Program Two		
Thursday, 17 August 2017	2:45 PM	Thursday 17 August 2017	4:45 PM	Film Screening	Public	Providence Public Library	150 Empire Street	Malpertius (Feature Film)		
Thursday, 17 August 2017	4:00 PM	Thursday 17 August 2017	6:00 PM	Film Screening	Public	Black Box	95 Empire Street	HP Lovecraft Film Festival Short Film Program One (HPLFF1) 		
Thursday, 17 August 2017	5:00 PM	Thursday, 17 August 2017	12:00 AM	Gaming		Biltmore	L’Apogee, Biltmore 18th Floor	Weird Gaming		
Thursday, 17 August 2017	5:00 PM	Thursday, 17 August 2017	6:00 PM	Panel	Public	First Baptist Church in America	75 N. Main St. 02903	Opening Ceremony		
Thursday, 17 August 2017	6:00 PM	Thursday, 17 August 2017	8:30 PM	Exhibition	Public	Woods Gerry Gallery, Rhode Island School of Design	62 Prospect Street 02906	Ars Necronomica Art Exhibition, Opening Reception		
Thursday, 17 August 2017	6:30 PM	Thursday, 17 August 2017	7:30 PM	Theatre Performance		Biltmore	Garden Room, Biltmore 2nd Floor	The Tattered King		
Thursday, 17 August 2017	7:00 PM	Thursday, 17 August 2017	12:00 AM	Party	Public	Facade Lot	35 Weybosset St. 02903			
Thursday, 17 August 2017	8:00 PM	Thursday, 17 August 2017	9:30 PM	Performance		Biltmore	Garden Room, Biltmore 2nd Floor	The Haunter of the Dark		HPLHS Dark Adventure Radio Theatre
Thursday, 17 August 2017	9:00 PM	Thursday, 17 August 2017	12:00 AM	Party	GoldSilverKey	Thee Red Fez	49 Peck St. 02903	BLACK LODGE PARTY		
Thursday, 17 August 2017	10:30 PM	Friday 18 August 2017	12:00 AM	Film Screening	Public	Black Box	95 Empire Street	Frank Difficult Presents w/ Live Music		
Friday, 18 August 2017	12:00 AM	Friday, 18 August 2017	11:59 PM	Tours	Ticket	Providence	Providence, RI	Walking Tours of Providence		
Friday, 18 August 2017	9:00 AM	Friday, 18 August 2017	10:15 AM	Panel		Omni	Omni 1	ARMITAGE SYMPOSIUM		Neils Hobbs, Dennis P. Quinn, Nathan Wallace, Karen Joan Kohoutek, Eric Berardis, Byron Nakamura
Friday, 18 August 2017	9:00 AM	Friday, 18 August 2017	10:15 AM	Panel		Omni	Omni 2	PULP vs. PURE CTHULHU GAMING		Paul Fricker, Lynn Hardy, Jon Hook, Dan Kramer, Chris Lackey, Mike Mason (Moderator)
Friday, 18 August 2017	9:00 AM	Friday, 18 August 2017	10:15 AM	Panel		Biltmore	Garden Room, Biltmore 2nd Floor	WEREWEIRD: LYCANTHROPY, ANIMISM, AND ANIMAL-TRANSFORMATION IN WEIRD FICTION		Cody Goodfellow, KH Vaughan (moderator), Stephen Graham Jones, Sonya Taaffe
Friday, 18 August 2017	9:00 AM	Friday, 18 August 2017	10:15 AM	Panel		Biltmore	Grand Ballroom, Biltmore 17th Floor	AMBROSE BIERCE: A LITERARY LEGACY		Jason V Brock, Jason Eckhardt, Alex Houstoun, Derrick Hussey (Moderator), S.T. Joshi
Friday, 18 August 2017	10:30 AM	Friday, 18 August 2017	11:45 AM	Panel		Omni	Omni 1	ARMITAGE SYMPOSIUM		Fay Ringel, Anders Lundgren, Michael A. Torregrossa, Heather Poirier, Ash Darrow
Friday, 18 August 2017	10:30 AM	Friday, 18 August 2017	11:45 AM	Panel		Omni	Omni 2	STRANGE, FAR PLACES		Sean Branney, KH Vaughan (Moderator), Donovan Loucks, Steven Mariconda, Will Murray, Doug Wynne
Friday, 18 August 2017	10:30 AM	Friday, 18 August 2017	11:45 AM	Panel		Biltmore	Garden Room, Biltmore 2nd Floor	TERROR TRENDS AND THE FUTURE OF WEIRD FILM		Philip Gelatt, Mark Finn, Izzy Lee, Mallory O’Meara (Moderator), Richard Stanley
Friday, 18 August 2017	10:30 AM	Friday, 18 August 2017	11:45 AM	Panel		Biltmore	Grand Ballroom, Biltmore 17th Floor	MACHINATIONS AND MESMERISM: How Middle European Fantasists & Romanticists informed Modern Horror		Leslie Klinger, Steve Mariconda, Anya Martin, Farah R. Smith (Moderator)
Friday, 18 August 2017	10:30 AM	Friday, 18 August 2017	11:45 AM	Panel		Biltmore	L’Apogee, Biltmore 17th Floor	Author Readings		TBA
Friday 18 August 2017	11:30 AM	Friday 18 August 2017	1:00 PM	Film Screening	Public	Providence Public Library	150 Empire Street	NecronomiCon Short Film Program Two		
Friday, 18 August 2017	12:00 PM	Friday, 18 August 2017	1:30 PM	Other		N/A	N/A	Lunch		N/A
Friday, 18 August 2017	12:00 PM	Friday, 18 August 2017	1:30 PM	Podcast		Biltmore	L’Apogee, Biltmore 17th Floor	PODCAST – The H.P. Lovecraft Literary Podcast LIVE!		
Friday 18 August 2017	12:30 PM	Friday 18 August 2017	2:00 PM	Film Screening	Public	Providence Public Library	150 Empire Street	The White Darkness and other Richard Stanley short pieces		
Friday, 18 August 2017	1:00 PM	Friday, 18 August 2017	11:59 PM	Film Screenings	Public	Providence Public Library	150 Empire Street	Film Screenings (Library)		
Friday, 18 August 2017	1:00 PM	Friday, 18 August 2017	11:59 PM	Film Screenings	Public	Black Box	95 Empire Street	Film Screenings (Black Box)		
Friday, 18 August 2017	1:30 PM	Friday, 18 August 2017	2:45 PM	Panel		Omni	Omni 1	ACADEMIC TALKS		Matthew Buffington, Mrina Nikrad PhD
Friday, 18 August 2017	1:30 PM	Friday, 18 August 2017	2:45 PM	Panel		Omni	Omni 2	SHORT FILMS		Sean Branney, Philip Gelatt (Moderator), Cody Goodfellow, Izzy Lee, Bryan Moore
Friday, 18 August 2017	1:30 PM	Friday, 18 August 2017	2:45 PM	Panel		Biltmore	Garden Room, Biltmore 2nd Floor	CLARK ASHTON SMITH		Martin Andersson (Moderator), Scott Connors, Larissa Glasser, Will Murray, Donald Sidney-Fryer, Jason Bradley Thompson
Friday, 18 August 2017	1:30 PM	Friday, 18 August 2017	2:45 PM	Panel		Biltmore	Grand Ballroom, Biltmore 17th Floor	WRITING NON-STALE MYTHOS TALES		Alex Houstoun, Kij Johnson, Tom Lynch, Vincent O’Neil (Moderator), Peter Rawlik, Darrell Schweitzer
Friday, 18 August 2017	1:30 PM	Friday, 18 August 2017	2:45 PM	Panel		Biltmore	L’Apogee, Biltmore 17th Floor	AUTHOR READINGS		TBA
Friday, 18 August 2017	1:30 PM	Friday, 18 August 2017	2:45 PM	Panel		Biltmore	Renaissance Room, Biltmore 17th Floor	STORIES FROM THE BORDERLAND – LIVE!		Anya Martin and Scott Nicolay.
Friday 18 August 2017	1:30 PM	Friday 18 August 2017	3:30 PM	Film Screening	Public	Black Box	95 Empire Street	HP Lovecraft Film Festival Short Film Program Two (HPLFF2)		
Friday 18 August 2017	2:30 PM	Friday 18 August 2017	4:00 PM	Film Screening	Public	Providence Public Library	150 Empire Street	Valdemar Legacy Part One (Feature Film)		
Friday, 18 August 2017	3:00 PM	Friday, 18 August 2017	4:15 PM	Panel		Omni	Omni 1	ARMITAGE SYMPOSIUM		Heather Poirier, Fred S. Lubnow, Edward Guimont, Shawn McKinney, Joshua D. King
Friday, 18 August 2017	3:00 PM	Friday, 18 August 2017	4:15 PM	Panel		Omni	Omni 2	ELDRITCH ARTHOUSE: WEIRD FICTION INFLUENCES IN ART CINEMA		Joseph Dwyer, Philip Gelatt, Mike Griffen, Izzy Lee, Richard Stanley
Friday, 18 August 2017	3:00 PM	Friday, 18 August 2017	4:15 PM	Panel		Omni	Omni 2	R.H. BARLOW: LOVECRAFT AND BEYOND		Martin Andersson, Scott Connors, Alex Houstoun (Moderator), Paul LaFarge, Dwayne Olson
Friday, 18 August 2017	3:00 PM	Friday, 18 August 2017	4:15 PM	Panel		Biltmore	Grand Ballroom, Biltmore 17th Floor	LOVECRAFT CRITICISM: WHAT’S LEFT?		Peter Cannon (Moderator), S.T. Joshi, Steven Mariconda, J.M. Rajala, Darrell Schweitzer
Friday, 18 August 2017	3:00 PM	Friday, 18 August 2017	4:15 PM	Panel		Biltmore	L’Apogee, Biltmore 17th Floor	AUTHOR READINGS		TBA
Friday 18 August 2017	4:00 PM	Friday 18 August 2017	6:00 PM	Film Screening	Public	Black Box	95 Empire Street	NecronomiCon Short Film Program One		
Friday, 18 August 2017	4:30 PM	Friday, 18 August 2017	5:45 PM	Other		Biltmore	Renaissance Room, Biltmore 17th Floor	DRIVE-IN LOVECRAFT		Alan Tromp
Friday, 18 August 2017	4:30 PM	Friday, 18 August 2017	5:45 PM	Panel		Omni	Omni 1	THE FAIRY FOLK: FAERIE IN THE WEIRD TRADITION		Paul Di Filippo, Gwendolyn Kiste, Fred Lubnow, Rory Raven (Moderator), Faye Ringel, Jeff Shanks
